0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,P
100,101.7934,109.5746,118.358,125.5371,129.5617,131.6706,131.9812,120.7049,126.2952,124.5309,119.8324,112.2878,102.2224,107.5511,109.0513,105.0384,108.8514,104.7894,110.7974,118.9629,122.2063,118.5164,128.2624,128.3753,129.4561,118.7183,121.844,114.1393,119.6216,114.6116,114.908,115.3694,115.8169,116.285,117.0048,130.615,115.1446,123.7814,124.4153,116.8895,116.8176,106.3376,103.874,101.5477,100.8808,100.8372,90.6799,93.082,88.5668,85.5247,92.9406,92.455,96.7609,94.197,94.9806,96.9841,97.4479,100.4815,103.6032,97.8672,0
100,93.4324,82.548,88.2788,90.7957,93.1766,90.9663,82.4662,90.7455,90.7847,87.3438,82.6016,78.3108,80.814,78.6127,86.3171,78.8265,76.7653,72.0122,69.5146,62.2384,64.4456,66.5035,57.9298,61.3285,59.449,68.4868,73.8601,77.8244,85.2871,84.2798,81.5103,78.0442,71.4025,71.5338,73.5947,80.0992,87.6552,91.9589,100.5072,114.1201,118.2354,115.4723,121.8972,124.3878,123.1089,127.7678,136.6194,124.4303,115.9851,117.3701,130.5101,123.4032,115.2375,120.9572,119.3511,122.9153,113.4988,111.5115,104.0259,99.1583,0
100,91.9832,84.7341,94.0147,94.7804,93.3449,91.7421,88.2019,87.1007,94.1225,100.9677,103.4466,105.9036,98.3505,105.3644,99.6058,98.3205,99.0027,96.4596,99.1523,97.8621,92.5101,80.1082,76.3013,78.0264,78.5589,84.6638,90.5474,85.0156,82.0601,85.789,89.889,92.1625,92.2824,92.8961,86.9564,85.2924,86.5871,84.7633,81.6524,78.1625,80.9662,88.6433,85.9569,85.7379,78.2381,74.1164,70.7432,71.6497,61.1654,65.3463,64.647,68.8575,66.4181,80.0258,81.6575,93.0906,96.6139,95.309,93.2662,99.6803,0
100,95.2619,95.2444,91.2284,95.1457,99.1358,96.2033,94.8347,97.0255,102.8425,90.0955,85.7214,87.829,91.8521,91.8234,87.0376,81.4546,82.453,78.8958,73.0003,71.3669,74.26,73.7279,70.5415,69.7753,71.3767,66.3823,69.1156,65.9209,58.2134,53.4362,53.1719,53.2081,57.1543,52.2235,55.2263,53.816,51.4921,52.0582,50.1372,47.9517,49.0424,50.0083,57.1793,57.6387,57.7425,56.0655,55.0514,55.9957,60.0651,67.9053,75.2933,69.6128,71.8063,70.7694,60.5135,65.8458,66.9817,62.9878,63.5666,70.7596,0
100,89.8439,90.9894,99.1365,110.5507,108.9276,115.0231,120.1496,109.4552,113.7547,120.2177,129.3721,140.7946,148.8363,153.8923,158.9989,144.2396,147.5175,153.8942,163.5565,165.6877,176.8079,180.6087,168.7473,174.9841,184.7509,179.6137,176.473,178.6342,165.0065,149.9781,156.3729,157.6326,145.218,141.1336,141.2667,144.4691,147.6068,134.2651,120.1825,105.0655,92.2445,82.7341,84.2798,90.6432,88.678,89.9256,90.956,91.6627,99.4317,92.6371,94.5252,84.1537,84.4175,83.9908,81.7219,92.4685,90.2102,84.0788,90.7245,97.4016,0
100,105.8427,114.9557,125.3023,132.8355,128.0785,111.5561,113.6231,112.9101,113.8923,112.2846,121.4625,121.2588,124.1267,129.0856,146.7935,139.5485,154.5177,141.8759,130.5896,129.3568,136.0214,142.1347,133.8675,130.5314,128.7299,116.9602,114.6912,118.8833,116.7443,119.0268,119.1415,115.9659,106.7308,117.4689,130.4629,133.8009,137.4554,141.7514,130.1807,155.3977,160.6327,142.1262,150.9123,141.2928,130.6796,125.3898,122.7124,127.4916,126.5454,124.1597,120.5836,118.0761,126.5702,133.1121,149.8112,143.1456,153.7225,151.9844,131.0457,130.3163,30.3163
100,97.43,84.3038,85.3537,90.3975,82.6695,76.4169,74.4627,76.6324,79.9034,75.4786,77.7901,89.1123,92.8274,90.6319,83.166,81.8546,87.1045,92.9635,88.5105,87.148,79.9914,88.6054,83.5071,86.4861,100.9267,103.949,106.2882,106.2105,97.9049,110.7105,113.6527,98.9274,92.6459,83.352,78.6502,76.2537,74.0676,83.8871,79.0613,87.7599,95.2495,97.317,91.4295,83.5523,84.5631,85.016,96.6905,100.2949,101.5008,105.1615,93.1708,80.827,77.506,87.6667,88.997,91.8913,95.3168,87.6172,85.2093,78.8026,0
100,106.6369,107.9287,101.2928,106.7373,104.1312,119.0789,127.4715,130.5709,135.6013,133.2097,139.7497,146.7196,157.9989,148.6447,150.4102,156.0427,164.3659,172.6446,173.7667,166.7622,177.4004,161.4601,161.8603,158.356,145.2628,143.7453,148.0182,165.8437,187.2139,196.2268,209.906,217.6667,209.2989,201.5093,194.6236,215.4332,226.6564,233.6582,205.6872,215.7424,214.2051,199.6766,175.663,164.1673,153.6686,160.0819,160.1074,167.0846,160.1126,172.486,181.1561,187.5858,197.3453,190.6267,199.2849,191.1298,213.3997,199.4424,184.8672,167.273,67.273
100,103.6232,102.667,97.4086,99.2163,108.1709,105.5174,109.5544,104.3164,104.7987,111.2978,116.6078,127.0162,130.4264,128.4433,144.1965,146.9006,148.3341,151.1542,143.9444,139.7145,138.5622,135.2981,136.2838,130.9086,130.459,136.1966,135.1367,127.9618,123.2546,119.2185,124.0267,127.0772,127.5877,130.1141,129.9786,126.9941,132.5624,127.9352,125.9335,123.4244,129.9744,117.3648,117.7487,118.4221,118.9188,120.5322,111.87,122.5066,120.7806,120.1558,120.8148,129.7061,139.146,144.6378,135.8695,131.8014,124.1622,118.0803,129.8798,128.2944,28.2944
100,95.1156,97.7104,108.3979,110.2238,112.9822,117.0399,107.1332,108.0094,97.7684,101.9144,103.5911,104.7544,99.5787,93.7897,105.5395,105.8896,98.517,93.2265,87.4148,83.01,82.1572,73.3896,68.6311,76.4604,79.0166,73.0237,73.8697,68.9009,62.2145,64.7429,61.8997,66.1086,67.4653,63.9605,63.8567,63.3965,64.2093,67.2694,63.9278,70.7976,65.3368,55.0075,57.5971,52.3358,53.4217,51.3547,54.0019,53.2778,56.5714,57.4082,52.7007,55.8514,56.9591,54.6997,51.2113,48.2093,47.2405,54.5459,49.7017,54.7667,0
